url,label
https://www.google.com,0
https://www.wikipedia.org,0
https://www.microsoft.com,0
https://www.apple.com,0
https://www.github.com,0
https://www.python.org,0
https://www.nasa.gov,0
https://www.youtube.com,0
https://www.linkedin.com,0
https://www.amazon.com,0
https://www.openai.com,0
https://www.mozilla.org,0
https://www.ibm.com,0
https://www.adobe.com,0
https://www.stackoverflow.com,0
http://verify-account-login.example.com,1
http://secure-login-password.example.net,1
http://bank-account-update.example.org,1
http://confirm-payment-wallet.example.com,1
http://account-verification-login.example.net,1
http://security-update-password.example.org,1
http://signin-confirm-account.example.com,1
http://unlock-suspended-account.example.net,1
http://payment-verification.example.org,1
http://secure-bank-login.example.com,1
